,name,logFC,AveExpr,t,P.Value,adj.P.Val,B,length
38,FBgn0000100,-0.113046086,9.456209163,-2.590272404,0.031240207,0.103917416,-5.272204653,1026.606077
39,FBgn0000108,0.15336232,10.72789339,2.304564436,0.049090917,0.14625457,-5.783351663,5969.306636
40,FBgn0000109,0.050220357,2.769611466,0.631185045,0.544966124,0.733411867,-6.644801161,627.9168892
41,FBgn0000114,0.058161941,6.227841827,0.915046293,0.386070568,0.587219382,-7.315338565,3109.894814
42,FBgn0000115,-0.127277408,4.253015573,-1.271332848,0.238199931,0.44318536,-6.490767004,678.169
43,FBgn0000116,-0.573335515,10.48132407,-9.848183456,7.52E-06,0.000361299,3.669281203,1397.853502
44,FBgn0000117,0.054133249,9.154335133,1.5710213,0.153590632,0.321947335,-6.796557101,2937.781279
45,FBgn0000119,-0.085024767,5.85776035,-2.026490499,0.076122065,0.201007374,-5.834800714,5839.06275
46,FBgn0000120,-0.217011635,6.508602245,-1.342400949,0.215149044,0.410164287,-6.888806747,1250.252874
47,FBgn0000121,0.200592861,7.6302946,1.593377086,0.148509777,0.313930277,-6.671102655,1362.06275
48,FBgn0000137,1.020932682,-3.628447757,1.807827109,0.107029886,0.255063435,-4.281818945,2252.033276
49,FBgn0000139,0.522451861,4.780473393,10.326319,5.22E-06,0.000301057,4.55100528,1205.931997
50,FBgn0000140,1.486338081,-0.616575404,3.506727517,0.007591782,0.036560892,-2.164268209,6153.06275
51,FBgn0000146,-0.081123579,1.132942341,-0.371049146,0.719926594,0.88386851,-6.28550591,2629.43775
52,FBgn0000147,1.590641635,2.476872385,10.93031366,3.36E-06,0.000246372,5.093036775,1392.06275
53,FBgn0000150,-0.199461846,7.284399896,-2.601850976,0.030674383,0.10259047,-5.116577642,411.9334886
54,FBgn0000152,0.515664889,4.677187227,8.443918751,2.42E-05,0.000701793,2.930672015,2390.06275
55,FBgn0000153,-0.22412515,6.29962135,-1.009781777,0.341228923,0.551140604,-7.233491985,1908.052224
56,FBgn0000157,-0.054288638,5.156025116,-1.001861474,0.344820409,0.552348304,-7.021429702,2898.210091
57,FBgn0000158,0.434485653,-3.522448143,0.74890916,0.474672084,0.668548162,-5.318005611,1758.660804
58,FBgn0000163,-0.402823308,3.285515786,-2.540032494,0.033820636,0.110488071,-4.374637833,6613.195024
59,FBgn0000166,-0.347134201,-3.522448143,-0.568014416,0.585113462,0.771076784,-5.426204336,1932.342322
60,FBgn0000173,-0.167138956,6.615352559,-2.953147812,0.017680487,0.069097229,-4.485364566,1504.34371
61,FBgn0000179,0.008257063,5.611035275,0.145310333,0.887945291,0.94621965,-7.639513671,5228.358351
62,FBgn0000180,-0.016923408,4.384957087,-0.211852432,0.837350464,0.94621965,-7.327090386,3091.06275
63,FBgn0000181,0.269041629,8.994106747,2.992108496,0.016641817,0.06593326,-4.601863473,1152.254483
64,FBgn0000182,-0.180874792,-2.130200015,-0.185290731,0.857465016,0.94621965,-5.718864545,2831.494257
65,FBgn0000183,-0.011443708,7.437400261,-0.349822959,0.735213917,0.894598177,-7.827865534,5157.420706
66,FBgn0000206,-0.146808156,2.115523992,-0.515253983,0.619862914,0.800900435,-6.508044786,2828.06275
67,FBgn0000212,0.020529815,6.734571064,0.509391714,0.623789485,0.804610873,-7.687080391,5154.980575
68,FBgn0000216,0.03440176,-4.116809081,0.126540654,0.902326673,0.94621965,-5.524405276,347.667125
69,FBgn0000221,0.473425303,3.062077371,3.89822605,0.004272051,0.024083963,-2.191192341,1265.06275
70,FBgn0000227,0.03440176,-4.116809081,0.126540654,0.902326673,0.94621965,-5.524405276,1167.06275
71,FBgn0000228,0.109895052,6.405807337,3.045465413,0.015321062,0.062011096,-4.310261646,3990.827742
72,FBgn0000229,-0.115305909,7.701965995,-1.531676477,0.162914656,0.335683081,-6.759532984,1377.537249
73,FBgn0000233,0.234991419,0.807095744,1.007338657,0.342333716,0.551140604,-5.752378902,2749.06275
74,FBgn0000239,0.190764732,6.280250264,3.520969329,0.007431969,0.036088249,-3.535977507,2808.426929
75,FBgn0000241,-1.766719245,-0.564036416,-6.342949334,0.000193005,0.002703416,0.956931726,2463.06275
76,FBgn0000244,-0.227596421,4.953948798,-4.321418009,0.002351183,0.015648985,-2.05739883,2867.523847
77,FBgn0000246,0.436452216,3.651684098,4.155086825,0.002963964,0.018576903,-1.968272522,2418.78528
78,FBgn0000247,0.046856536,7.229668266,1.151955529,0.281550981,0.500453312,-7.190282044,6841.06275
79,FBgn0000250,0.042824275,6.282338703,1.074049686,0.313136897,0.533724192,-7.165708213,2041.627211
80,FBgn0000251,0.479573375,0.912695678,1.537062097,0.161609035,0.333729043,-5.174288681,2331.157434
81,FBgn0000253,-0.243971277,11.14138438,-3.358427998,0.009488917,0.043256311,-4.113522041,3677.503199
82,FBgn0000256,-0.085657098,7.368108328,-1.54372218,0.160007428,0.331677892,-6.718542282,3722.48324
83,FBgn0000257,-0.004558449,5.307522181,-0.061529714,0.9523985,0.973478026,-7.583834631,2912.06275
84,FBgn0000259,0.015741811,7.866105438,0.604954898,0.561437781,0.74920463,-7.726304757,2143.657804
85,FBgn0000261,-0.297510264,6.199766862,-3.287177817,0.010572354,0.046815672,-3.892474868,1808.06275
86,FBgn0000273,-0.076856589,9.094530296,-2.066574912,0.071476202,0.191592104,-6.075074634,4927.960689
87,FBgn0000274,0.809830318,-2.743845807,1.056719926,0.320528652,0.542382718,-5.147774369,1165.509536
88,FBgn0000276,-0.348525613,-2.530368401,-0.362982485,0.725721054,0.888809402,-5.621953971,160.4077324
89,FBgn0000277,0.018722845,-3.720568456,0.037822429,0.9707264,0.983441204,-5.55828866,181.4916692
90,FBgn0000278,0.03440176,-4.116809081,0.126540654,0.902326673,0.94621965,-5.524405276,242.3055
91,FBgn0000279,-1.723235481,-3.232207131,-5.183897893,0.000754948,0.006781789,-0.552698538,205.1533555
92,FBgn0000280,0.03440176,-4.116809081,0.126540654,0.902326673,0.94621965,-5.524405276,31.28875
93,FBgn0000281,0.03440176,-4.116809081,0.126540654,0.902326673,0.94621965,-5.524405276,51.527
94,FBgn0000283,0.165692339,6.867464009,3.426554362,0.008561849,0.040072231,-3.758689233,3936.306104
95,FBgn0000286,0.050324263,6.92535021,1.46504812,0.179863354,0.360212895,-6.783030866,3864.60039
96,FBgn0000287,-0.068711692,4.718587399,-0.686162383,0.511386461,0.701486761,-7.186429631,5004.06275
97,FBgn0000289,-0.055905219,8.373221525,-1.916855002,0.090365407,0.227796449,-6.258166809,4447.961354
98,FBgn0000299,-0.528129466,8.090544388,-4.501874684,0.001837189,0.012892374,-2.214256276,5894.681614
99,FBgn0000303,-0.024336719,8.053257858,-0.467102738,0.652486866,0.830250168,-7.818656143,3825.894382
100,FBgn0000307,-0.075237099,6.747423682,-1.229369737,0.252761056,0.462694069,-7.0547941,6133.498064
101,FBgn0000308,0.00456432,7.961231663,0.094200503,0.927192397,0.962211263,-7.928164505,1560.296956
102,FBgn0000316,-0.081583855,5.311055309,-2.183765442,0.059421941,0.167410904,-5.482912902,1913.531935
103,FBgn0000317,0.086754063,4.116644623,0.848821096,0.419871064,0.623144435,-6.890777804,7032.792711
104,FBgn0000318,0.013902246,5.558703888,0.165823823,0.872278068,0.94621965,-7.625115942,431.324952
105,FBgn0000319,-0.154556133,8.772031539,-5.375919715,0.000594819,0.005739046,-1.036321073,5458.687321
106,FBgn0000320,-0.218673065,2.922065343,-1.305438905,0.226889416,0.426595741,-6.048518691,2878.900576
107,FBgn0000326,0.007522141,4.265539691,0.063378097,0.950970641,0.973390533,-7.316276012,1659.06275
108,FBgn0000330,-0.155319437,4.867622884,-2.319484379,0.047945354,0.143747839,-5.166670916,1355.625871
109,FBgn0000337,0.089755895,-2.311416855,0.133220825,0.897203634,0.94621965,-5.704811629,1603.900045
110,FBgn0000339,0.168513627,5.343358391,2.212351873,0.056798342,0.162477191,-5.445689881,687.5430306
111,FBgn0000346,-0.378066203,9.285420203,-6.315310106,0.000198986,0.002768314,0.129358252,2901.287796
112,FBgn0000351,0.701760273,1.455412501,4.198179488,0.002790258,0.017732943,-1.392632939,1410.56275
113,FBgn0000352,-0.249242584,5.89206358,-3.365717866,0.009384849,0.042899932,-3.717469208,4578.06275
114,FBgn0000355,0.03440176,-4.116809081,0.126540654,0.902326673,0.94621965,-5.524405276,330.787375
115,FBgn0000356,0.03440176,-4.116809081,0.126540654,0.902326673,0.94621965,-5.524405276,337.737125
116,FBgn0000357,0.345420236,2.186351218,1.77006801,0.113448075,0.265151676,-5.21163383,464.312875
117,FBgn0000358,0.03440176,-4.116809081,0.126540654,0.902326673,0.94621965,-5.524405276,466.31025
118,FBgn0000359,-0.739580907,-3.720568456,-1.429341509,0.189573234,0.373861365,-4.702109618,927.2653814
119,FBgn0000360,0.03440176,-4.116809081,0.126540654,0.902326673,0.94621965,-5.524405276,995.56275
120,FBgn0000370,0.125711723,9.092264239,2.387299962,0.043065177,0.13250896,-5.575842553,1735.644875
121,FBgn0000376,0.219768088,5.419874068,3.883041637,0.004366669,0.024460643,-2.819955686,3633.585506
122,FBgn0000377,-0.119924581,4.230040705,-1.087448451,0.307513819,0.527332444,-6.691345274,2147.06275
123,FBgn0000382,0.407922632,9.92428743,7.913929859,3.92E-05,0.000941347,1.878968792,6856.483347
124,FBgn0000384,0.096655008,5.928777674,1.136414544,0.287639463,0.507951571,-7.040728915,2448.278063
125,FBgn0000394,0.138221524,3.672173009,1.090504366,0.306242526,0.525792907,-6.525452152,1350.256053
126,FBgn0000395,0.003873428,4.393813418,0.027767596,0.978505938,0.987131151,-7.35416874,4144.06275
127,FBgn0000404,-0.324074262,1.938566082,-1.640509921,0.1382944,0.297716817,-5.317193974,2705.896742
128,FBgn0000405,0.92001833,0.399812941,2.659029811,0.028029231,0.096095345,-3.461464142,2413.43775
129,FBgn0000406,-0.139866742,6.841925779,-0.789205719,0.452022695,0.652628048,-7.505690517,1307.291605
130,FBgn0000411,-0.152116371,5.687108083,-2.291278928,0.050133866,0.148481891,-5.393979297,1744.526961
131,FBgn0000412,-0.224125619,6.40542253,-2.76541012,0.023710417,0.085450983,-4.759023818,1541.546425
132,FBgn0000414,0.072792546,8.5781478,1.694866677,0.127314031,0.282014101,-6.592248636,8138.140696
133,FBgn0000416,0.213721496,9.269940079,6.077126325,0.000259856,0.0032429,-0.161525105,3248.413382
134,FBgn0000422,-0.09384096,9.74200748,-1.526532723,0.164170454,0.337376275,-6.886815265,2218.462809
135,FBgn0000426,-0.204351674,2.203613932,-1.929646095,0.088580505,0.224818982,-4.988273309,283.35875
136,FBgn0000427,-1.343873708,-3.430327444,-2.701008881,0.026236204,0.092055595,-3.186570477,4051.168023
137,FBgn0000439,0.039367129,2.229986548,0.188724886,0.854857854,0.94621965,-6.669028123,2554.06275
138,FBgn0000442,0.324383276,2.647527963,2.090753976,0.068808184,0.186128518,-4.881212496,2398.06275
139,FBgn0000447,0.073576524,4.442635577,0.889335553,0.398952836,0.600410884,-6.946526737,1170.91898
140,FBgn0000448,-0.245355847,8.07959307,-6.352551362,0.000190974,0.002682971,0.24212432,7684.368265
141,FBgn0000449,0.022723641,-3.324327831,0.041147837,0.968154179,0.9833831,-5.597973874,1793.886766
142,FBgn0000451,0.086723752,1.072984475,0.344213592,0.739275134,0.8980649,-6.279111974,2040.657268
143,FBgn0000454,-0.815582178,6.919226104,-8.623061058,2.07E-05,0.000640251,2.763461942,1684.485747
144,FBgn0000455,-0.080488472,5.165433217,-0.998647555,0.346285925,0.554191333,-7.026762473,1583.022993
145,FBgn0000459,0.099838539,3.449660407,0.634145319,0.543125215,0.731830284,-6.857170281,3026.532962
146,FBgn0000463,0.304307518,0.416748283,0.879645683,0.403887024,0.605550925,-5.769163673,5093.06275
147,FBgn0000464,-0.008412679,9.86447622,-0.129145953,0.900328073,0.94621965,-8.032732838,8303.509414
148,FBgn0000473,0.767736729,3.315253008,9.089449906,1.39E-05,0.000520738,3.741008635,1489.06275
149,FBgn0000477,-1.637426934,4.430564749,-13.3215121,7.08E-07,0.000115907,6.698250519,1043.06275
150,FBgn0000479,0.138091891,8.660221159,2.44722009,0.039168407,0.123487943,-5.45613671,7173.852116
151,FBgn0000482,0.06132144,4.558526471,0.734894941,0.48272042,0.672730952,-7.107787872,2976.06275
152,FBgn0000489,0.008585467,6.088027735,0.122915692,0.90510871,0.948606701,-7.730768855,2579.539051
153,FBgn0000490,-0.670479636,2.273384192,-4.131578583,0.003063592,0.018970823,-1.643591305,3483.612429
154,FBgn0000492,-0.079644049,2.539324433,-0.494463207,0.633846069,0.813748471,-6.65304956,2367.06275
155,FBgn0000499,0.115501499,5.501820498,1.587151701,0.149909127,0.316098081,-6.399280572,2659.06275
156,FBgn0000500,-0.409336389,7.59058518,-3.109886698,0.013870378,0.057495086,-4.324081747,384.49575
157,FBgn0000504,0.248670037,3.357315774,3.30949526,0.010219656,0.045714044,-3.181752814,4249.035425
158,FBgn0000520,0.478786731,4.527056663,10.1525689,5.95E-06,0.000328464,4.451957957,1817.06275
159,FBgn0000524,-0.020569436,3.23506526,-0.199099895,0.846992878,0.94621965,-6.986423422,3643.06275
160,FBgn0000527,-0.784060519,7.482647248,-5.878648635,0.000326351,0.003841176,-0.299551239,2957.06275
161,FBgn0000529,-0.060603619,3.327137947,-0.382157691,0.711978399,0.877705572,-6.956743844,1809.029786
162,FBgn0000533,-0.04003659,2.095511717,-0.242570592,0.814246124,0.94621965,-6.614096394,1274.845619
163,FBgn0000535,0.358225612,8.830591576,4.889618225,0.001098959,0.008850141,-1.704784496,9001.451137
164,FBgn0000536,0.201495317,6.443351727,3.649862751,0.006137666,0.031475384,-3.356952339,2299.765086
165,FBgn0000541,0.140084534,8.487046886,2.425508513,0.040537729,0.126811024,-5.48017651,8400.05607
166,FBgn0000542,-0.127823003,0.209260164,-0.364602423,0.724555901,0.887845875,-6.043023083,6587.06275
167,FBgn0000543,-0.048132869,4.981809724,-0.537372684,0.6051643,0.78725873,-7.350401519,2019.06275
168,FBgn0000546,0.169266535,7.206193308,2.381209304,0.043482404,0.133413644,-5.461207259,7669.515053
169,FBgn0000547,0.060989881,6.714259067,1.159835142,0.278503917,0.496391445,-7.130294803,5883.674662
170,FBgn0000551,0.01366583,1.731115096,0.050783334,0.960703415,0.978073478,-6.533475523,371.0647648
171,FBgn0000552,0.029086963,-2.239479342,0.035127308,0.972811356,0.983995507,-5.721940528,466.8747766
172,FBgn0000557,0.210026098,9.781449831,2.732111467,0.024983673,0.088811909,-5.06097023,2413.979438
173,FBgn0000559,0.289783272,10.60386148,5.714325299,0.000395626,0.004390958,-0.680326276,2605.174204
174,FBgn0000560,0.03440176,-4.116809081,0.126540654,0.902326673,0.94621965,-5.524405276,1400.729417
175,FBgn0000562,0.143746803,5.752748509,2.663075866,0.027851098,0.095782398,-4.817191002,3875.83587
176,FBgn0000564,0.552083624,-0.291292232,0.701191181,0.502434404,0.69171336,-5.752281626,517.1435318
177,FBgn0000565,-0.736371128,6.51522489,-7.321669083,6.93E-05,0.001379564,1.483677175,795.7451908
178,FBgn0000566,-0.034155852,4.39678645,-0.346472579,0.737638564,0.89669586,-7.288735323,1203.636571
179,FBgn0000567,0.213548652,6.147333837,5.013555945,0.000936806,0.00792037,-1.303114157,6023.378723
180,FBgn0000568,0.365156192,7.861378263,4.86631651,0.001132724,0.009021521,-1.678500704,6877.384232
181,FBgn0000575,0.29951364,8.05302383,4.491910099,0.001862152,0.013015649,-2.226939783,1864.06275
182,FBgn0000576,-0.1335493,0.9868617,-0.555023489,0.593569394,0.778611726,-6.154376408,2293.06275
183,FBgn0000577,-0.205886751,1.216288221,-1.240003533,0.249002875,0.457778957,-5.616304154,2291.247252
184,FBgn0000578,-0.116161968,6.801802157,-3.131852789,0.01340909,0.056011796,-4.220863185,4132.859857
185,FBgn0000579,-0.27756872,9.830965185,-6.236202373,0.000217261,0.002904453,0.006705244,1661.388939
186,FBgn0000581,-0.285662779,7.606524653,-4.452536364,0.001964436,0.013535669,-2.254454771,10356.56063
187,FBgn0000588,-0.04117921,2.132516335,-0.094995728,0.926579826,0.96189378,-6.653122794,1519.06275
188,FBgn0000591,0.03440176,-4.116809081,0.126540654,0.902326673,0.94621965,-5.524405276,584.229625
189,FBgn0000592,-2.075811735,5.058356792,-9.412764392,1.06E-05,0.000452365,3.806137166,1581.357964
190,FBgn0000594,-1.387786162,-2.220574095,-2.971145357,0.017192576,0.06762221,-2.847839241,1556.298493
191,FBgn0000606,-0.473340766,-1.508324492,-1.272685571,0.237742464,0.442509673,-5.06632382,1221.06275
192,FBgn0000611,-0.030206501,6.95735465,-0.637784694,0.54086705,0.729569323,-7.631761218,2417.222481
193,FBgn0000615,1.172515746,0.330913884,1.874507463,0.096522502,0.238251317,-4.580495681,2332.933051
194,FBgn0000617,0.219915404,2.981432108,1.539410523,0.161042655,0.333185986,-5.772007292,939.06275
195,FBgn0000618,-0.011501999,2.064057973,-0.054939473,0.957490847,0.976239688,-6.635103078,318.89275
196,FBgn0000625,0.257267443,-1.518773758,0.466304844,0.653034458,0.830793826,-5.706837641,2766.56275
197,FBgn0000629,-0.050518799,5.296942474,-0.564896017,0.587137179,0.773020022,-7.408371099,2293.456226
198,FBgn0000633,0.203579178,7.731973453,4.558367497,0.001702327,0.012182846,-2.109387658,5699.398869
199,FBgn0000635,-0.204906516,8.039669581,-3.599383692,0.006613554,0.033190375,-3.578422569,4339.056533
200,FBgn0000636,0.021569607,6.000106472,0.371007937,0.719956148,0.88386851,-7.648022336,3123.44836
201,FBgn0000639,-0.287042197,-0.787252139,-0.956157873,0.366104916,0.568051636,-5.471243997,3214.06275
202,FBgn0000640,-0.345593462,-3.918688768,-0.742848118,0.478142133,0.668548162,-5.291111509,682.909
203,FBgn0000644,-0.009441053,1.644534213,-0.043785723,0.966114041,0.981948545,-6.507831424,778.074125
204,FBgn0000658,-1.328801909,-3.430327444,-2.507037217,0.035631741,0.115043122,-3.428076087,3368.074642
205,FBgn0000659,-0.107431762,5.741350768,-1.835453186,0.10255192,0.248771907,-6.097007862,4104.06275
206,FBgn0000662,0.104269564,7.227643891,1.88178146,0.095437272,0.236568141,-6.229651911,2250.688274
207,FBgn0000667,0.008962151,6.937260953,0.114586298,0.911506431,0.952228276,-7.844617491,3622.051375
208,FBgn0000709,0.100624304,5.967251385,1.594031427,0.148363384,0.313731614,-6.479583174,4642.06275
209,FBgn0000711,0.024441282,7.884861565,0.559110027,0.590902249,0.776452064,-7.756272272,3618.063416
210,FBgn0000715,0.110730708,5.848217489,1.641473389,0.138092437,0.297397287,-6.393186114,1242.06275
211,FBgn0000719,0.28540672,6.773484512,5.523211783,0.000497133,0.005085861,-0.698020649,3621.441865
212,FBgn0000721,-0.086722329,5.290058053,-0.908800896,0.389171762,0.590937601,-7.141624293,3086.389755
213,FBgn0000723,0.180313671,5.513855217,2.058109264,0.072433892,0.193666078,-5.719374513,3145.475854
214,FBgn0000808,0.739385525,-1.602363687,1.158954613,0.278843091,0.496744392,-5.172826392,1734.572115
215,FBgn0000810,0.287994915,5.678245074,5.748049206,0.000380192,0.004267115,-0.248133339,2867.06275
216,FBgn0000826,0.651897398,1.040965783,2.883969246,0.019693341,0.074763527,-3.24551162,929.06275
217,FBgn0000927,-0.398591933,-2.820609413,-0.52783002,0.611482943,0.792859134,-5.518539386,2050.816966
218,FBgn0000928,0.251064295,0.083752174,0.689442445,0.509424232,0.699557595,-5.83720246,3317.06275
219,FBgn0000964,-0.006346066,3.777628301,-0.058904596,0.954426692,0.974361052,-7.174326733,3307.06275
220,FBgn0000996,-0.919529497,2.19747749,-4.692570494,0.001422991,0.010677742,-0.836410279,2647.898256
221,FBgn0001075,1.059855468,-0.504769638,2.691023212,0.026651811,0.093026915,-3.306127271,16667.06275
222,FBgn0001077,0.559964035,-0.11959296,1.669785265,0.132276967,0.289589871,-4.777623898,1589.06275
223,FBgn0001078,0.377138453,7.490358748,6.115180545,0.000248891,0.003164979,-0.007637039,5652.565202
224,FBgn0001079,-0.039176805,4.328458895,-0.531654348,0.608946499,0.790472962,-7.181071938,3066.06275
225,FBgn0001083,1.145724026,0.207463128,3.973108446,0.003836425,0.022270248,-1.569000428,3943.06275
226,FBgn0001084,0.388922179,2.891938568,3.871991877,0.004436928,0.024736096,-2.186316995,1366.482037
227,FBgn0001085,-0.172331549,5.65257345,-2.62086357,0.029767765,0.100513512,-4.86474611,3632.06275
228,FBgn0001086,-0.753514655,-0.499761539,-1.442265322,0.186006905,0.369259512,-5.001994061,1811.06275
229,FBgn0001087,0.256099437,7.401621951,6.230759266,0.000218585,0.002912304,0.140050664,3830.806296
230,FBgn0001089,-1.008547901,4.577881276,-15.92187421,1.70E-07,6.25E-05,8.121048345,2160.06275
231,FBgn0001090,-0.375078647,9.568359539,-7.098391942,8.67E-05,0.001630379,1.023722291,2050.33919
232,FBgn0001091,-0.09457204,9.107402016,-1.509290938,0.168443229,0.344444531,-6.876632002,1145.112805
233,FBgn0001092,-0.301605724,9.4980068,-4.459776776,0.001945181,0.013449076,-2.356315074,1192.370832
234,FBgn0001098,-0.271440886,8.60990025,-3.726833678,0.005480726,0.028888843,-3.414656588,1893.909618
235,FBgn0001099,0.587345237,3.344380801,5.197869035,0.000741837,0.006702718,-0.423365407,838.0467798
236,FBgn0001104,-0.527280938,5.671764291,-5.082004738,0.000858557,0.007432908,-1.122910287,1882.06275
237,FBgn0001105,-0.092127884,8.445139181,-2.103437441,0.067447667,0.183470688,-5.980777495,4551.624882
238,FBgn0001108,-0.061466199,6.416341316,-1.053350523,0.321981461,0.543860454,-7.206592838,4365.06275
239,FBgn0001112,-1.064701022,-0.072518993,-2.422989255,0.040699697,0.127001713,-3.738675503,2714.06275
240,FBgn0001114,-1.712403279,5.304197356,-9.131910778,1.34E-05,0.000510893,3.495937575,3075.06275
241,FBgn0001120,-0.357677575,-3.918688768,-0.815619324,0.437576629,0.637921107,-5.241321309,733.759
242,FBgn0001122,-0.022659535,9.788316318,-0.394434814,0.703237252,0.871354715,-7.952093896,5064.234223
243,FBgn0001123,0.187064946,7.973187152,3.361250993,0.009448473,0.043113829,-3.949893141,1464.857138
244,FBgn0001124,0.062599531,8.865774113,1.240353198,0.248880089,0.457672765,-7.199445459,1498.061664
245,FBgn0001125,-0.520813812,7.880560468,-5.682106034,0.000411016,0.004509638,-0.579978552,1389.700252
246,FBgn0001128,-0.17900459,8.683538625,-3.341491128,0.009735421,0.04409444,-4.025218636,1605.353418
247,FBgn0001133,-0.069122756,4.398983599,-0.878259827,0.404596256,0.606355956,-6.944188154,1709.06275
248,FBgn0001134,-0.134788755,4.660802551,-2.139131653,0.063758247,0.176339765,-5.394219753,3886.06275
249,FBgn0001137,-0.248433958,0.4844527,-0.861833356,0.41307019,0.615582157,-5.800792936,1533.06275
250,FBgn0001138,0.084277999,2.993897366,0.621940175,0.550738911,0.738849867,-6.722239648,3338.659538
251,FBgn0001139,-0.226377808,7.178836716,-5.255802538,0.000690058,0.00641185,-1.092216506,3698.687874
252,FBgn0001142,-0.247684132,7.703598726,-2.615829285,0.03000514,0.101169428,-5.125839122,1921.974817
253,FBgn0001145,-0.753310279,11.86511569,-15.0344569,2.70E-07,7.98E-05,7.271614635,1535.435366
254,FBgn0001147,0.795281494,-2.941966119,1.269226831,0.23891362,0.444102341,-4.92470304,2055.310817
255,FBgn0001148,0.425879703,-3.918688768,0.958021975,0.365218057,0.567395937,-5.134427697,1457.079
256,FBgn0001149,-0.821545084,7.447974917,-8.476797456,2.35E-05,0.000691627,2.578452141,640.5797265
257,FBgn0001150,-0.016374917,5.60028902,-0.257190453,0.803315602,0.94621965,-7.612181121,1595.06275
258,FBgn0001168,0.275417709,3.264289396,2.39172559,0.042764524,0.131872115,-4.604860287,2062.480518
