,name,logFC,logCPM,PValue,length
91,FBgn0000279,-3.460240022,-1.727760921,0.073721926,205.1533555
92,FBgn0000280,0,-2.120239339,1,31.28875
93,FBgn0000281,0,-2.120239339,1,51.527
94,FBgn0000283,0.136940033,6.87279027,0.061801158,3936.306104
95,FBgn0000286,0.022881858,6.928390053,0.734261107,3864.60039
96,FBgn0000287,-0.089946111,4.734912731,0.446573911,5004.06275
97,FBgn0000289,-0.083436172,8.375159775,0.189108667,4447.961354
98,FBgn0000299,-0.548271999,8.127960195,2.23E-06,5894.681614
99,FBgn0000303,-0.05180388,8.056446064,0.480133195,3825.894382
100,FBgn0000307,-0.100991726,6.75355128,0.219271641,6133.498064
101,FBgn0000308,-0.021502829,7.963080408,0.747295296,1560.296956
102,FBgn0000316,-0.108886637,5.319561429,0.211700655,1913.531935
103,FBgn0000317,0.0553528,4.135633779,0.691343425,7032.792711
104,FBgn0000318,-0.019130964,5.567590687,0.852820101,431.324952
105,FBgn0000319,-0.182117418,8.776126918,0.00360629,5458.687321
106,FBgn0000320,-0.241256908,2.976572077,0.198395526,2878.900576
107,FBgn0000326,-0.022453788,4.285508146,0.881693786,1659.06275
108,FBgn0000330,-0.181676167,4.88153947,0.069001348,1355.625871
109,FBgn0000337,0.650398566,-1.262225425,0.638333046,1603.900045
110,FBgn0000339,0.138637003,5.354230663,0.154485014,687.5430306
111,FBgn0000346,-0.406728289,9.302093549,1.26E-08,2901.287796
112,FBgn0000351,0.660505704,1.587857853,0.011745883,1410.56275
113,FBgn0000352,-0.279362399,5.906768533,0.002718985,4578.06275
114,FBgn0000355,0,-2.120239339,1,330.787375
115,FBgn0000356,0,-2.120239339,1,337.737125
116,FBgn0000357,0.299038397,2.261377914,0.21345765,464.312875
117,FBgn0000358,0,-2.120239339,1,466.31025
118,FBgn0000359,-2.324640977,-1.950179598,0.514364933,927.2653814
119,FBgn0000360,0,-2.120239339,1,995.56275
120,FBgn0000370,0.098088726,9.094571941,0.136114591,1735.644875
121,FBgn0000376,0.194111558,5.429916906,0.028967643,3633.585506
122,FBgn0000377,-0.144204483,4.254254695,0.269736038,2147.06275
123,FBgn0000382,0.379879821,9.93944405,3.29E-07,6856.483347
124,FBgn0000384,0.063645666,5.938950925,0.541965594,2448.278063
125,FBgn0000394,0.112299836,3.702484248,0.447475036,1350.256053
126,FBgn0000395,-0.00264839,4.419908956,1,4144.06275
127,FBgn0000404,-0.314036874,2.033963486,0.2217694,2705.896742
128,FBgn0000405,0.829798027,0.699852546,0.05875961,2413.43775
129,FBgn0000406,-0.18456509,6.864929674,0.20516946,1307.291605
130,FBgn0000411,-0.18193454,5.695260311,0.035772695,1744.526961
131,FBgn0000412,-0.255349745,6.417471624,0.0037287,1541.546425
132,FBgn0000414,0.04460713,8.580566405,0.522322891,8138.140696
133,FBgn0000416,0.185937809,9.274309129,0.00391633,3248.413382
134,FBgn0000422,-0.122333642,9.746432112,0.113315888,2218.462809
135,FBgn0000426,-0.231468857,2.266838124,0.237396054,283.35875
136,FBgn0000427,-3.161648216,-1.798440237,0.146840108,4051.168023
137,FBgn0000439,0.051627905,2.310258906,0.853731196,2554.06275
138,FBgn0000442,0.272877871,2.706622858,0.148584121,2398.06275
139,FBgn0000447,0.04720345,4.457359838,0.676577118,1170.91898
140,FBgn0000448,-0.273261143,8.088262525,7.79E-05,7684.368265
141,FBgn0000449,0.01597897,-1.798631727,1,1793.886766
142,FBgn0000451,0.022388193,1.211690398,1,2040.657268
143,FBgn0000454,-0.829960933,6.986875491,1.23E-16,1684.485747
144,FBgn0000455,-0.104572436,5.177022191,0.311882219,1583.022993
145,FBgn0000459,0.061320911,3.491260226,0.715361249,3026.532962
146,FBgn0000463,0.189560179,0.661718569,0.713953193,5093.06275
147,FBgn0000464,-0.039775042,9.868791458,0.63290801,8303.509414
148,FBgn0000473,0.742747599,3.387164306,8.86E-08,1489.06275
149,FBgn0000477,-1.6599243,4.674651263,2.58E-36,1043.06275
150,FBgn0000479,0.107211026,8.664905869,0.172520603,7173.852116
151,FBgn0000482,0.037396155,4.572748118,0.734373983,2976.06275
152,FBgn0000489,-0.015379919,6.09457868,0.871372584,2579.539051
153,FBgn0000490,-0.676612148,2.378025945,0.001119848,3483.612429
154,FBgn0000492,-0.101015883,2.602111959,0.667286197,2367.06275
155,FBgn0000499,0.088092835,5.512689638,0.356058259,2659.06275
156,FBgn0000500,-0.448761167,7.620338282,0.000135161,384.49575
157,FBgn0000504,0.22313614,3.387489922,0.098301212,4249.035425
158,FBgn0000520,0.450252314,4.555467885,6.15E-06,1817.06275
159,FBgn0000524,-0.047860752,3.267309112,0.788133434,3643.06275
160,FBgn0000527,-0.78774017,7.550279601,4.15E-10,2957.06275
161,FBgn0000529,-0.080379126,3.371057966,0.667273234,1809.029786
162,FBgn0000533,-0.101879678,2.162162737,0.649426184,1274.845619
163,FBgn0000535,0.328033626,8.845254605,0.000217116,9001.451137
164,FBgn0000536,0.174855532,6.450140119,0.025545004,2299.765086
165,FBgn0000541,0.108219205,8.49175485,0.171744507,8400.05607
166,FBgn0000542,-0.130310195,0.465379408,0.798096989,6587.06275
167,FBgn0000543,-0.077526337,4.993880977,0.483209546,2019.06275
168,FBgn0000546,0.137799505,7.213734549,0.113769584,7669.515053
169,FBgn0000547,0.030072426,6.719390582,0.703971279,5883.674662
170,FBgn0000551,0.015688663,1.840478561,1,371.0647648
171,FBgn0000552,0.208450396,-1.166007659,1,466.8747766
172,FBgn0000557,0.179911794,9.787976797,0.025173598,2413.979438
173,FBgn0000559,0.262648887,10.61121187,5.80E-05,2605.174204
174,FBgn0000560,0,-2.120239339,1,1400.729417
175,FBgn0000562,0.115012508,5.761258909,0.195843734,3875.83587
176,FBgn0000564,0.365335476,0.290426684,0.63750581,517.1435318
177,FBgn0000565,-0.766807002,6.573161888,2.37E-15,795.7451908
178,FBgn0000566,-0.069899747,4.41326311,0.555778965,1203.636571
179,FBgn0000567,0.186839309,6.15416042,0.013112186,6023.378723
180,FBgn0000568,0.338819184,7.876879973,0.00011742,6877.384232
181,FBgn0000575,0.268679281,8.06267233,0.000446097,1864.06275
182,FBgn0000576,-0.113453143,1.145501667,0.793541156,2293.06275
183,FBgn0000577,-0.223763375,1.331315089,0.42278855,2291.247252
184,FBgn0000578,-0.144634097,6.807035157,0.037733913,4132.859857
185,FBgn0000579,-0.303928167,9.840162569,2.01E-06,1661.388939
186,FBgn0000581,-0.311743661,7.619605727,0.000142218,10356.56063
187,FBgn0000588,-0.108711061,2.325667577,0.801296382,1519.06275
188,FBgn0000591,0,-2.120239339,1,584.229625
189,FBgn0000592,-2.058867097,5.438100896,5.31E-26,1581.357964
190,FBgn0000594,-1.701459366,-1.213787996,0.077818785,1556.298493
191,FBgn0000606,-0.499902604,-0.872235138,0.560870545,1221.06275
192,FBgn0000611,-0.056798249,6.960942969,0.425291266,2417.222481
193,FBgn0000615,1.268147372,0.843531564,0.025233955,2332.933051
194,FBgn0000617,0.192230296,3.023155157,0.271695141,939.06275
195,FBgn0000618,-0.070912028,2.138715433,0.766885377,318.89275
196,FBgn0000625,0.358688803,-0.834196678,0.726166772,2766.56275
197,FBgn0000629,-0.084133835,5.307252277,0.427412392,2293.456226
198,FBgn0000633,0.174425759,7.737448243,0.0163667,5699.398869
199,FBgn0000635,-0.234065642,8.047852277,0.002617697,4339.056533
200,FBgn0000636,-0.005408809,6.00629626,0.96279169,3123.44836
201,FBgn0000639,-0.28229922,-0.365355229,0.668950853,3214.06275
202,FBgn0000640,-1.589202898,-2.032622329,1,682.909
203,FBgn0000644,-0.017202705,1.739256049,0.958926951,778.074125
204,FBgn0000658,-3.17459529,-1.798130864,0.146840108,3368.074642
205,FBgn0000659,-0.133152693,5.7501487,0.139890239,4104.06275
206,FBgn0000662,0.076262428,7.231910015,0.323287761,2250.688274
207,FBgn0000667,-0.018785398,6.944061166,0.837898427,3622.051375
208,FBgn0000709,0.076855339,5.973775509,0.369229393,4642.06275
209,FBgn0000711,-0.003189957,7.887323457,0.968671767,3618.063416
210,FBgn0000715,0.085214328,5.856503228,0.352129647,1242.06275
211,FBgn0000719,0.257733717,6.784066201,0.000945888,3621.441865
212,FBgn0000721,-0.118965835,5.30311535,0.292899822,3086.389755
213,FBgn0000723,0.146485154,5.526861235,0.184129732,3145.475854
214,FBgn0000808,0.964154827,-0.797972918,0.279964893,1734.572115
215,FBgn0000810,0.261690043,5.690979062,0.002717943,2867.06275
216,FBgn0000826,0.62653187,1.211231367,0.053261203,929.06275
217,FBgn0000927,-0.245833319,-1.476825413,1,2050.816966
218,FBgn0000928,0.119604473,0.400871678,0.869185642,3317.06275
219,FBgn0000964,-0.032808055,3.799784939,0.81413564,3307.06275
220,FBgn0000996,-0.939810786,2.347894508,2.25E-05,2647.898256
221,FBgn0001075,0.925269989,-0.03367506,0.074817084,16667.06275
222,FBgn0001077,0.464494275,0.201537839,0.368306756,1589.06275
223,FBgn0001078,0.346825405,7.505492304,2.23E-05,5652.565202
224,FBgn0001079,-0.065216736,4.344427588,0.566941857,3066.06275
225,FBgn0001083,1.179220576,0.538307728,0.005131722,3943.06275
226,FBgn0001084,0.364229189,2.938325589,0.021126142,1366.482037
227,FBgn0001085,-0.205105892,5.66386765,0.030013275,3632.06275
228,FBgn0001086,-0.530278862,-0.033386334,0.340047859,1811.06275
229,FBgn0001087,0.228596544,7.408924333,0.001161282,3830.806296
230,FBgn0001089,-1.035155485,4.680972714,1.16E-23,2160.06275
231,FBgn0001090,-0.401591055,9.584117842,4.06E-09,2050.33919
232,FBgn0001091,-0.121004991,9.111067865,0.093108142,1145.112805
233,FBgn0001092,-0.329143091,9.51001884,8.54E-06,1192.370832
234,FBgn0001098,-0.29981145,8.621246181,0.000133166,1893.909618
235,FBgn0001099,0.557250345,3.405653285,0.000124311,838.0467798
236,FBgn0001104,-0.552063675,5.708362719,4.36E-07,1882.06275
237,FBgn0001105,-0.120908977,8.448746435,0.084869985,4551.624882
238,FBgn0001108,-0.088243041,6.422618059,0.285054342,4365.06275
239,FBgn0001112,-0.835017663,0.354064303,0.111561464,2714.06275
240,FBgn0001114,-1.750162519,5.576114109,4.81E-28,3075.06275
241,FBgn0001120,-1.580859479,-2.032795769,1,733.759
242,FBgn0001122,-0.049495093,9.790800116,0.48848996,5064.234223
243,FBgn0001123,0.160234403,7.97765291,0.020448985,1464.857138
244,FBgn0001124,0.034966061,8.867450606,0.597417667,1498.061664
245,FBgn0001125,-0.545509444,7.912423976,5.43E-09,1389.700252
246,FBgn0001128,-0.204681174,8.689362649,0.00353666,1605.353418
247,FBgn0001133,-0.096371707,4.416079617,0.414739664,1709.06275
248,FBgn0001134,-0.157176722,4.675436024,0.13032899,3886.06275
249,FBgn0001137,-0.261097894,0.700027018,0.530790117,1533.06275
250,FBgn0001138,0.072655328,3.039601135,0.689859334,3338.659538
251,FBgn0001139,-0.25417231,7.187058627,0.000228432,3698.687874
252,FBgn0001142,-0.280896195,7.716967849,0.002319065,1921.974817
253,FBgn0001145,-0.777988587,11.91868377,7.79E-30,1535.435366
254,FBgn0001147,1.147137475,-1.596849825,0.484465299,2055.310817
255,FBgn0001148,1.591402402,-2.032708115,1,1457.079
256,FBgn0001149,-0.838438905,7.515492271,9.72E-18,640.5797265
257,FBgn0001150,-0.044490116,5.607462533,0.632435697,1595.06275
258,FBgn0001168,0.240207035,3.296725248,0.116967638,2062.480518
259,FBgn0001169,-0.019066464,4.885573045,0.844538815,5737.705849
260,FBgn0001170,1.590347053,-2.032729956,1,1468.404
261,FBgn0001174,0.880036577,0.855808736,0.015307733,431.365125
262,FBgn0001179,-0.036399122,4.643445273,0.757997863,2326.623442
263,FBgn0001180,-0.209261735,2.909795216,0.180927329,3112.148737
264,FBgn0001185,0.351606877,5.139537811,0.00052266,1970.288311
265,FBgn0001186,0.169410938,8.237459954,0.009575499,3954.06275
266,FBgn0001187,0.047944161,2.900448674,0.822570037,1308.06275
267,FBgn0001189,0.522011738,5.007335167,7.24E-07,2450.91312
268,FBgn0001197,-0.353486058,6.445108794,4.69E-05,748.2342855
269,FBgn0001202,0.097282999,6.964346415,0.203250268,2132.06275
270,FBgn0001206,0.142752533,4.492179829,0.232809085,4511.06275
271,FBgn0001208,-0.389034787,4.407905332,0.059862235,1362.721828
272,FBgn0001215,-0.049737212,9.041242032,0.453823222,1762.125653
273,FBgn0001216,0.038922063,0.774552218,1,2288.120574
274,FBgn0001217,0.958552045,-0.693702759,0.185822993,1989.06275
275,FBgn0001218,-0.120884756,8.45174473,0.070524831,2844.079451
276,FBgn0001220,-0.151924442,7.874068696,0.033274508,2606.06275
277,FBgn0001222,0.199706014,6.696700093,0.004796568,2607.280667
278,FBgn0001223,1.744870781,5.113519204,4.52E-20,783.0725
279,FBgn0001224,-0.506648985,5.846332613,0.048074006,699.13925
280,FBgn0001225,0.633535698,5.361848766,0.050685444,773.0755
281,FBgn0001226,-0.583789489,3.514827396,0.043650157,1038.933058
282,FBgn0001227,-0.403328382,5.198863762,0.001830026,1548.06275
283,FBgn0001228,0.859313254,-1.660840774,0.70144973,1472.209418
284,FBgn0001229,-0.480428118,4.548894459,0.00211039,802.068
285,FBgn0001230,0.553180812,5.198836194,0.204335825,2046.06275
286,FBgn0001233,-0.251652505,9.323141146,0.008261066,2529.458913
287,FBgn0001235,-0.054003918,7.971081869,0.457601515,5704.499885
288,FBgn0001247,-0.149241735,7.421214881,0.026815763,3254.06275
289,FBgn0001248,-0.485957575,7.48283367,3.34E-10,1469.948352
290,FBgn0001250,-0.318230526,5.866990527,0.00357525,5476.241338
291,FBgn0001253,0.879229473,5.386232716,9.71E-18,5618.925249
292,FBgn0001254,-1.580859479,-2.032795769,1,1518.724
293,FBgn0001255,-0.563585309,-1.165414784,0.682027622,906.7528149
294,FBgn0001256,-0.26303487,-0.62856949,0.788494223,972.43775
295,FBgn0001257,-1.157123676,6.136539349,4.53E-09,1715.477168
296,FBgn0001258,2.056805239,4.265233586,4.25E-16,1324.137304
297,FBgn0001259,-1.370500973,-1.535303518,0.322979581,2877.256605
298,FBgn0001263,0.064286704,3.62263547,0.707437562,2111.530139
299,FBgn0001269,-0.232044766,1.244109065,0.465724721,2294.172865
300,FBgn0001276,0.169304072,4.268473847,0.112839284,542.246375
301,FBgn0001280,0.039070257,3.782931545,0.831405747,487.6025972
302,FBgn0001281,4.757873509,-1.262239729,0.000562774,384.0384331
303,FBgn0001285,0.272057226,-0.56564575,0.763800522,1025.707875
304,FBgn0001291,-0.073294276,5.16671614,0.489569605,1340.06275
305,FBgn0001296,0.182884343,5.793114336,0.038024666,2021.451202
306,FBgn0001297,-0.141583043,6.714116066,0.057775955,3366.685771
307,FBgn0001301,0.100174263,5.658687486,0.206665209,5291.06275
308,FBgn0001308,0.033487958,7.036735011,0.606227207,3533.06275
309,FBgn0001311,0.088261466,-0.50519553,1,5301.3118
310,FBgn0001313,3.171507631,-1.798342357,0.146840108,13203.38095
311,FBgn0001316,0.008092902,6.785598599,0.913157529,4007.694811
312,FBgn0001319,0.131290527,5.18245568,0.157193295,3252.906416
313,FBgn0001320,-0.751729823,0.069332752,0.147036882,1820.56275
314,FBgn0001321,0.414742286,-0.660814568,0.610104638,2489.06275
315,FBgn0001323,-0.056941816,0.031500847,0.926579656,3724.06275
316,FBgn0001324,0.034198413,5.438038817,0.766040617,3196.286923
317,FBgn0001325,-0.000980039,3.166928931,1,3972.850913
318,FBgn0001330,0.461539203,3.520021149,0.001203558,3708.474145
319,FBgn0001341,0.063833564,3.530949788,0.705755833,3495.06275
320,FBgn0001404,0.086600689,7.411584928,0.233853592,3168.975305
321,FBgn0001491,-0.138940776,4.423239549,0.214823835,749.08675
322,FBgn0001565,0.521268608,6.665763487,1.15E-07,1841.676715
323,FBgn0001612,0.192932992,4.861107498,0.053492204,3386.06275
324,FBgn0001624,0.192308344,8.912469074,0.011446098,6429.58177
325,FBgn0001941,0.244455518,6.164911045,0.004322623,1568.562834
326,FBgn0001942,0.262505867,10.68123219,1.65E-05,1571.567379
327,FBgn0001961,-0.048921871,6.186529248,0.532477843,1506.922408
328,FBgn0001965,0.077874354,7.15700332,0.272781741,5450.06275
329,FBgn0001967,-1.201026176,-1.798697275,0.645669276,672.2145166
330,FBgn0001970,0.061924049,4.17258283,0.581434103,1975.06275
331,FBgn0001977,0.113266373,4.801733514,0.297591914,2173.06275
332,FBgn0001978,0.043967615,5.39987154,0.634510089,3939.785329
333,FBgn0001983,0.002199504,-1.950092032,1,2031.942359
334,FBgn0001986,0.118369986,4.147368294,0.315188489,3400.06275
335,FBgn0001987,-0.799324808,3.817444472,2.66E-07,3849.61075
336,FBgn0001989,-0.374846159,6.1561826,5.26E-05,560.9447415
337,FBgn0001990,0.342616048,3.055721064,0.033650365,1742.759758
338,FBgn0001991,-0.018804049,9.504062268,0.844493144,8330.999384
339,FBgn0001992,-0.373514019,-1.213385945,0.803658987,2115.56275
340,FBgn0001994,0.458041067,6.512869129,1.67E-08,4217.06275
341,FBgn0001995,-0.024886123,4.899439778,0.831257261,827.06275
342,FBgn0002021,0.235134255,5.016308712,0.023974064,1523.06275
343,FBgn0002022,-0.006306455,4.484383584,0.973525142,1513.06275
344,FBgn0002023,-0.082905901,5.356779676,0.351014482,2438.668302
345,FBgn0002031,-0.137459063,6.164083693,0.12809159,1144.037651
346,FBgn0002036,-0.045991665,5.38590207,0.679118518,1867.06275
347,FBgn0002044,-0.09084891,6.357170343,0.269122398,3915.062501
348,FBgn0002069,0.308099701,4.929786857,0.003340061,1821.254125
349,FBgn0002121,0.406651202,4.718929961,0.002592387,5127.365428
350,FBgn0002174,-0.124391532,4.747942862,0.188815373,1645.77731
351,FBgn0002183,0.128832686,5.475957907,0.139505812,3493.774363
352,FBgn0002283,0.10343192,5.186970518,0.316170071,1137.741581
353,FBgn0002284,0.005326492,5.540104933,0.972166899,759.078125
354,FBgn0002306,-0.46186148,2.801430943,0.032255973,4645.611534
355,FBgn0002354,0.044095937,4.022439348,0.765936186,366.567875
356,FBgn0002413,-0.202913336,7.369394489,0.003326772,3950.568724
357,FBgn0002431,0.048097431,7.978437638,0.512599275,8892.218508
358,FBgn0002440,-2.296698552,-1.950803867,0.514364933,1388.769
359,FBgn0002441,0.486024022,5.846085662,1.13E-08,5213.06275
360,FBgn0002466,-1.607240496,-0.477730783,0.018620241,5887.06275
361,FBgn0002521,0.190877022,7.105983524,0.008131463,2026.713782
362,FBgn0002522,-0.509279793,1.364056018,0.065463282,2113.627471
363,FBgn0002524,-0.456196989,5.942869009,1.06E-07,2656.560022
364,FBgn0002525,0.023326769,5.920092747,0.787576799,2951.946533
365,FBgn0002526,-1.293300813,4.917143399,3.84E-25,11505.06275
366,FBgn0002531,-2.322950639,-1.950216081,0.514364933,358.2142781
367,FBgn0002533,0,-2.120239339,1,548.8568125
368,FBgn0002534,0.654957407,0.419410972,0.14314629,474.2252164
369,FBgn0002535,1.924945336,-1.365331742,0.103348509,443.1450189
370,FBgn0002542,0.635805998,1.998451684,0.009889012,3358.06275
371,FBgn0002543,-0.18756507,5.896603053,0.027880282,6021.06275
372,FBgn0002552,-0.036085255,4.329911408,0.748073554,3469.06275
373,FBgn0002561,0,-2.120239339,1,912.06275
374,FBgn0002562,-7.480982541,0.593502427,2.21E-20,2440.486101
375,FBgn0002563,-9.068152102,7.316548347,2.53E-187,2420.06275
376,FBgn0002564,0.091340376,-0.761821157,1,2315.548906
377,FBgn0002565,-5.245207602,10.06005588,1.62E-101,2122.251044
378,FBgn0002566,0.109871154,7.419782741,0.116449151,3635.934013
379,FBgn0002567,-0.582987913,3.826256525,0.002601132,1763.062373
380,FBgn0002569,1.752987413,-1.42008528,0.306434556,1849.431783
381,FBgn0002570,1.922257545,1.834076856,0.021076293,1641.06275
382,FBgn0002571,1.322133507,-0.76354058,0.196062243,1610.681035
383,FBgn0002573,0.017171602,-1.950574086,1,2271.8215
384,FBgn0002576,0.195568176,1.209771449,0.561735934,3192.31275
385,FBgn0002577,-2.063111312,-1.312918393,0.057817495,3220.256771
386,FBgn0002578,-1.924467456,-0.948506188,0.077691252,637.9271509
387,FBgn0002579,0.105153644,9.402444075,0.137924154,336.952457
388,FBgn0002590,0.110229128,8.31991832,0.12949459,679.8973358
389,FBgn0002592,-1.872316197,-1.660661811,0.242849084,773.5718768
390,FBgn0002593,0.327250925,9.277077694,2.27E-06,418.9295743
391,FBgn0002609,0.097093287,1.647255988,0.729156253,1120.06275
392,FBgn0002622,0.458180571,9.504406901,1.88E-11,713.3145137
393,FBgn0002626,0.214726708,8.729056703,0.002333685,340.0967982
394,FBgn0002629,0,-2.120239339,1,574.233
395,FBgn0002631,1.591402402,-2.032708115,1,690.152
396,FBgn0002632,-2.360311696,-1.534601306,0.131892654,953.0871764
397,FBgn0002633,1.12294717,-1.419949123,0.396039934,795.5852661
398,FBgn0002638,0.016735535,4.455338225,0.901075753,2008.990027
399,FBgn0002641,0.091436027,3.629639322,0.548627753,2596.316463
400,FBgn0002643,0.113253337,7.049488618,0.142390882,6899.622903
401,FBgn0002645,-0.121596261,5.582135412,0.227355489,5359.383348
402,FBgn0002673,1.214952698,2.263993489,2.69E-09,1903.900737
403,FBgn0002707,-0.020985418,3.981541488,0.906039536,3307.750473
404,FBgn0002709,0.35039701,2.251218414,0.082490067,4753.560968
405,FBgn0002715,0.806429724,2.389562709,2.89E-05,1407.595257
406,FBgn0002716,-0.214071175,-0.120888842,0.741882716,2115.06275
407,FBgn0002719,-0.333407267,7.533637979,1.97E-06,2198.03012
408,FBgn0002723,0.20929787,5.533776426,0.036839298,4903.06275
